"[all run data]","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100"
,"644","126","11","69.25246826516221","0","19","11","3.6671368124118473","0","11","11","3.80818053596615","0","21","11","4.513399153737659","590","132","11","86.74188998589563","640","118","11","73.62482369534555","599","123","11","86.60084626234132","634","135","11","83.07475317348378","664","117","11","77.0098730606488","673","101","10","82.22849083215797"
,"552","114","11","70.66290550070522","0","11","11","3.5260930888575457","0","4","11","3.80818053596615","0","14","11","4.372355430183357","543","112","11","87.30606488011283","558","104","11","74.89421720733426","484","104","11","87.16502115655854","548","122","11","83.77997179125529","579","110","11","77.43300423131171","569","83","10","82.65162200282089"
,"655","117","11","73.06064880112835","0","5","12","2.9619181946403383","0","1","12","3.80818053596615","0","3","12","3.9492242595204514","610","115","12","88.43441466854725","664","106","12","75.17630465444289","610","117","12","88.01128349788434","653","129","11","84.6262341325811","677","104","12","78.56135401974612","670","87","11","82.93370944992948"
,"569","100","12","74.47108603667137","0","1","13","2.538787023977433","0","0","13","3.6671368124118473","0","1","13","3.9492242595204514","559","101","13","88.99858956276445","591","98","13","75.59943582510579","520","107","13","88.15232722143864","567","106","12","85.61354019746122","599","95","13","79.97179125528913","582","86","12","83.3568406205924"
,"685","93","12","76.16361071932299","0","0","13","2.3977433004231314","0","0","13","3.6671368124118473","0","1","13","3.80818053596615","614","95","13","89.28067700987306","685","90","13","75.31734837799718","653","99","13","88.99858956276445","678","99","12","86.17771509167842","692","86","13","80.95909732016925","682","82","12","84.0620592383639"
,"601","93","13","77.43300423131171","0","0","14","2.3977433004231314","0","0","14","3.6671368124118473","0","0","14","3.80818053596615","569","106","14","89.42172073342736","596","103","14","76.7277856135402","544","109","14","89.98589562764458","598","100","13","87.16502115655854","607","97","14","81.10014104372355","603","88","13","84.3441466854725"
,"704","72","14","77.71509167842031","0","0","15","2.2566995768688294","0","0","15","3.5260930888575457","0","0","15","3.5260930888575457","607","93","15","88.85754583921015","658","91","15","77.1509167842031","634","103","15","90.26798307475318","679","88","14","87.44710860366713","686","88","15","81.52327221438645","698","80","14","84.6262341325811"
,"639","68","14","77.574047954866","0","0","15","1.8335684062059237","0","0","15","3.5260930888575457","0","0","15","3.5260930888575457","583","86","15","88.71650211565584","584","87","15","78.27926657263752","550","101","15","90.12693935119887","609","84","14","88.01128349788434","610","82","15","82.79266572637518","626","78","14","84.4851904090268"
,"724","72","17","78.42031029619181","0","0","18","1.5514809590973202","0","0","18","3.385049365303244","0","0","18","3.385049365303244","637","85","18","88.43441466854725","675","92","18","80.11283497884344","650","108","18","89.70380818053597","696","91","17","88.01128349788434","701","90","18","82.79266572637518","702","88","17","85.75458392101551"
,"654","69","18","77.99717912552892","0","0","19","1.5514809590973202","0","0","19","3.385049365303244","0","0","19","3.385049365303244","599","71","19","88.57545839210155","588","90","19","80.67700987306064","561","95","19","89.28067700987306","616","78","18","87.87023977433005","613","88","19","83.3568406205924","618","81","18","85.89562764456981"
